poi_id,slug,name,state,county,themes,theme_count,primary_theme,theme_family,lat,lng,geocode_confidence,geocode_source,geocode_query
20319181072051348,magic-moment-resort-kids-club-dazzler-select-by-wyndham-osceola,"Magic Moment Resort & Kids Club , Dazzler Select by Wyndham",FL,Osceola,family-friendly,1,family-friendly,family,,,,,
20319181081374767,holiday-inn-express-suites-panama-city-beach-beachfront-by-ihg-bay,Holiday Inn Express & Suites Panama City Beach - Beachfront by IHG,FL,Bay,natural-wonder|city-escapes|outdoor-adventure|family-friendly,4,natural-wonder,outdoors,,,,,
20319181081752292,universal-s-cabana-bay-beach-resort-orange,Universal's Cabana Bay Beach Resort,FL,Orange,family-friendly,1,family-friendly,family,,,,,
20319181084016687,jw-marriott-marco-island-beach-resort-collier,JW Marriott Marco Island Beach Resort,FL,Collier,family-friendly|outdoor-adventure|natural-wonder|city-escapes|business-travel|romantic-getaways|food-wine,7,family-friendly,family,,,,,
20319181084961966,sunseeker-resort-florida-gulf-coast-curio-collection-by-hilton-charlotte,"SUNSEEKER RESORT Florida Gulf Coast, CURIO COLLECTION by Hilton",FL,Charlotte,outdoor-adventure|family-friendly,2,outdoor-adventure,outdoors,,,,,
20319181087245297,the-grove-resort-water-park-orlando-orange,The Grove Resort & Water Park Orlando,FL,Orange,city-escapes|family-friendly|natural-wonder|outdoor-adventure,4,city-escapes,urban,,,,,
20442395063529825,seaside-at-anna-maria-island-inn-manatee,Seaside at Anna Maria Island Inn,FL,Manatee,,0,unclassified,none,,,,,
20442395497017165,embassy-suites-by-hilton-deerfield-beach-resort-spa-broward,Embassy Suites by Hilton Deerfield Beach Resort & Spa,FL,Broward,food-wine|city-escapes|outdoor-adventure|natural-wonder|family-friendly|romantic-getaways,6,food-wine,indulgence,,,,,
20442395497633936,days-inn-by-wyndham-orlando-airport-florida-mall-orange,Days Inn by Wyndham Orlando Airport Florida Mall,FL,Orange,,0,unclassified,none,,,,,
20442395501559003,club-wyndham-bonnet-creek-orange,Club Wyndham Bonnet Creek,FL,Orange,natural-wonder|family-friendly|outdoor-adventure|food-wine|city-escapes|national-park,6,natural-wonder,outdoors,,,,,
20442395509388439,havana-cabana-at-key-west-monroe,Havana Cabana at Key West,FL,Monroe,pet-friendly|romantic-getaways|food-wine,3,pet-friendly,family,,,,,
